年/月,1,2,3,4,5,6,7,8,9,10,11,12
2003,48,6,3,1,1,6,3,10,16,29,5,8
2004,4,10,4,8,4,5,20,27,41,50,60,30
2005,10,7,2,8,3,9,14,40,28,50,62,31
2006,4,4,9,3,6,13,46,81,114,151,136,81
2007,21,5,5,10,7,50,127,121,115,233,259,137
2008,25,8,11,13,8,24,67,96,64,117,109,34
2009,22,10,10,18,12,23,33,66,47,115,184,139
2010,41,23,18,10,12,21,37,120,217,301,242,134
2011,16,18,0,4,6,14,23,91,114,215,236,168
2012,31,8,14,21,23,21,69,110,188,218,181,81
2013,27,19,22,14,19,51,54,63,63,71,117,98
2014,24,16,15,18,22,86,190,304,447,703,729,461
2015,89,31,29,24,38,60,169,743,1336,1276,1223,780
2016,262,37,16,22,23,23,41,73,20,43,27,24
