value,weatherElement_Id
"16.3",0
"28.5",1
"11",2
"9.3",3
"2",4
"72.7",5
"7.2",6
"20.0",7
"16",8
"17.2",9
"140.0",10
"14",11
"78",12
"46",13
"11",14
"1016.2",15
"12",16
"90.4",17
"16.5",18
"28.8",19
"11",20
"10.2",21
"2",22
"85.8",23
"8.9",24
"60.0",25
"23",26
"16.2",27
"80.0",28
"17",29
"81",30
"44",31
"20",32
"1020.3",33
"15",34
"61.2",35
"21.3",36
"28.9",37
"12",38
"16.0",39
"2",40
"34.7",41
"6.8",42
"20.0",43
"24",44
"14.1",45
"10.0",46
"31",47
"73",48
"50",49
"3",50
"1017.2",51
"12",52
"62.9",53
"15.6",54
"25.1",55
"9",56
"8.6",57
"2",58
"107.5",59
"8.2",60
"20.0",61
"29",62
"17.2",63
"10.0",64
"29",65
"79",66
"48",67
"9",68
"1018.5",69
"14",70
"57.2",71
"17.4",72
"27.8",73
"11",74
"12.1",75
"30",76
"22.8",77
"11.6",78
"30.0",79
"16",80
"24.5",81
"20.0",82
"16",83
"80",84
"51",85
"1",86
"1017.8",87
"10",88
"68.2",89
"17.1",90
"27.5",91
"11",92
"10.9",93
"2",94
"457.0",95
"8.6",96
"70.0",97
"29",98
"17.0",99
"360.0",100
"26",101
"82",102
"52",103
"2",104
"1018.0",105
"21",106
"41.2",107
"13.0",108
"26.2",109
"12",110
"5.9",111
"31",112
"29.5",113
"9.7",114
"70.0",115
"12",116
"20.4",117
"50.0",118
"16",119
"74",120
"28",121
"1",122
"1018.3",123
"8",124
"91.8",125
"20.5",126
"28.9",127
"12",128
"12.0",129
"2",130
"14.8",131
"6.6",132
"340.0",133
"29",134
"11.4",135
"340.0",136
"30",137
"73",138
"45",139
"5",140
"1017.0",141
"4",142
"135.5",143
"20.2",144
"28.0",145
"12",146
"12.9",147
"2",148
"32.8",149
"6.9",150
"40.0",151
"31",152
"13.8",153
"40.0",154
"31",155
"74",156
"49",157
"2",158
"1017.9",159
"14",160
"49.4",161
"17.6",162
"31.3",163
"11",164
"6.9",165
"3",166
"31.2",167
"6.6",168
"360.0",169
"30",170
"12.4",171
"320.0",172
"29",173
"79",174
"41",175
"6",176
"1015.1",177
"7",178
"135.5",179
"17.2",180
"27.1",181
"12",182
"10.3",183
"2",184
"125.0",185
"8.6",186
"70.0",187
"12",188
"12.7",189
"80.0",190
"12",191
"79",192
"49",193
"1",194
"1019.9",195
"20",196
"56.8",197
"15.6",198
"25.0",199
"11",200
"9.5",201
"2",202
"128.0",203
"15.9",204
"10.0",205
"30",206
"23.5",207
"30.0",208
"30",209
"85",210
"55",211
"2",212
"1008.7",213
"19",214
"46.4",215
"19.0",216
"26.4",217
"12",218
"12.7",219
"1",220
"69.5",221
"10.0",222
"30.0",223
"16",224
"17.4",225
"30.0",226
"16",227
"78",228
"49",229
"1",230
"1018.2",231
"22",232
"39.4",233
"10.9",234
"24.1",235
"11",236
"2.5",237
"2",238
"352.0",239
