elementName,weatherElement_Id,location_Id
"平均溫度",0,0
"最高溫度",1,0
"最高溫度日期",2,0
"最低溫度",3,0
"最低溫度日期",4,0
"降水量",5,0
"最大10分鐘風風速",6,0
"最大10分鐘風風向",7,0
"最大10分鐘風日期",8,0
"最大瞬間風風速",9,0
"最大瞬間風風向",10,0
"最大瞬間風日期",11,0
"平均相對濕度",12,0
"最小相對濕度",13,0
"最小相對濕度日期",14,0
"測站氣壓",15,0
"降水日數",16,0
"日照時數",17,0
"平均溫度",18,1
"最高溫度",19,1
"最高溫度日期",20,1
"最低溫度",21,1
"最低溫度日期",22,1
"降水量",23,1
"最大10分鐘風風速",24,1
"最大10分鐘風風向",25,1
"最大10分鐘風日期",26,1
"最大瞬間風風速",27,1
"最大瞬間風風向",28,1
"最大瞬間風日期",29,1
"平均相對濕度",30,1
"最小相對濕度",31,1
"最小相對濕度日期",32,1
"測站氣壓",33,1
"降水日數",34,1
"日照時數",35,1
"平均溫度",36,2
"最高溫度",37,2
"最高溫度日期",38,2
"最低溫度",39,2
"最低溫度日期",40,2
"降水量",41,2
"最大10分鐘風風速",42,2
"最大10分鐘風風向",43,2
"最大10分鐘風日期",44,2
"最大瞬間風風速",45,2
"最大瞬間風風向",46,2
"最大瞬間風日期",47,2
"平均相對濕度",48,2
"最小相對濕度",49,2
"最小相對濕度日期",50,2
"測站氣壓",51,2
"降水日數",52,2
"日照時數",53,2
"平均溫度",54,3
"最高溫度",55,3
"最高溫度日期",56,3
"最低溫度",57,3
"最低溫度日期",58,3
"降水量",59,3
"最大10分鐘風風速",60,3
"最大10分鐘風風向",61,3
"最大10分鐘風日期",62,3
"最大瞬間風風速",63,3
"最大瞬間風風向",64,3
"最大瞬間風日期",65,3
"平均相對濕度",66,3
"最小相對濕度",67,3
"最小相對濕度日期",68,3
"測站氣壓",69,3
"降水日數",70,3
"日照時數",71,3
"平均溫度",72,4
"最高溫度",73,4
"最高溫度日期",74,4
"最低溫度",75,4
"最低溫度日期",76,4
"降水量",77,4
"最大10分鐘風風速",78,4
"最大10分鐘風風向",79,4
"最大10分鐘風日期",80,4
"最大瞬間風風速",81,4
"最大瞬間風風向",82,4
"最大瞬間風日期",83,4
"平均相對濕度",84,4
"最小相對濕度",85,4
"最小相對濕度日期",86,4
"測站氣壓",87,4
"降水日數",88,4
"日照時數",89,4
"平均溫度",90,5
"最高溫度",91,5
"最高溫度日期",92,5
"最低溫度",93,5
"最低溫度日期",94,5
"降水量",95,5
"最大10分鐘風風速",96,5
"最大10分鐘風風向",97,5
"最大10分鐘風日期",98,5
"最大瞬間風風速",99,5
"最大瞬間風風向",100,5
"最大瞬間風日期",101,5
"平均相對濕度",102,5
"最小相對濕度",103,5
"最小相對濕度日期",104,5
"測站氣壓",105,5
"降水日數",106,5
"日照時數",107,5
"平均溫度",108,6
"最高溫度",109,6
"最高溫度日期",110,6
"最低溫度",111,6
"最低溫度日期",112,6
"降水量",113,6
"最大10分鐘風風速",114,6
"最大10分鐘風風向",115,6
"最大10分鐘風日期",116,6
"最大瞬間風風速",117,6
"最大瞬間風風向",118,6
"最大瞬間風日期",119,6
"平均相對濕度",120,6
"最小相對濕度",121,6
"最小相對濕度日期",122,6
"測站氣壓",123,6
"降水日數",124,6
"日照時數",125,6
"平均溫度",126,7
"最高溫度",127,7
"最高溫度日期",128,7
"最低溫度",129,7
"最低溫度日期",130,7
"降水量",131,7
"最大10分鐘風風速",132,7
"最大10分鐘風風向",133,7
"最大10分鐘風日期",134,7
"最大瞬間風風速",135,7
"最大瞬間風風向",136,7
"最大瞬間風日期",137,7
"平均相對濕度",138,7
"最小相對濕度",139,7
"最小相對濕度日期",140,7
"測站氣壓",141,7
"降水日數",142,7
"日照時數",143,7
"平均溫度",144,8
"最高溫度",145,8
"最高溫度日期",146,8
"最低溫度",147,8
"最低溫度日期",148,8
"降水量",149,8
"最大10分鐘風風速",150,8
"最大10分鐘風風向",151,8
"最大10分鐘風日期",152,8
"最大瞬間風風速",153,8
"最大瞬間風風向",154,8
"最大瞬間風日期",155,8
"平均相對濕度",156,8
"最小相對濕度",157,8
"最小相對濕度日期",158,8
"測站氣壓",159,8
"降水日數",160,8
"日照時數",161,8
"平均溫度",162,9
"最高溫度",163,9
"最高溫度日期",164,9
"最低溫度",165,9
"最低溫度日期",166,9
"降水量",167,9
"最大10分鐘風風速",168,9
"最大10分鐘風風向",169,9
"最大10分鐘風日期",170,9
"最大瞬間風風速",171,9
"最大瞬間風風向",172,9
"最大瞬間風日期",173,9
"平均相對濕度",174,9
"最小相對濕度",175,9
"最小相對濕度日期",176,9
"測站氣壓",177,9
"降水日數",178,9
"日照時數",179,9
"平均溫度",180,10
"最高溫度",181,10
"最高溫度日期",182,10
"最低溫度",183,10
"最低溫度日期",184,10
"降水量",185,10
"最大10分鐘風風速",186,10
"最大10分鐘風風向",187,10
"最大10分鐘風日期",188,10
"最大瞬間風風速",189,10
"最大瞬間風風向",190,10
"最大瞬間風日期",191,10
"平均相對濕度",192,10
"最小相對濕度",193,10
"最小相對濕度日期",194,10
"測站氣壓",195,10
"降水日數",196,10
"日照時數",197,10
"平均溫度",198,11
"最高溫度",199,11
"最高溫度日期",200,11
"最低溫度",201,11
"最低溫度日期",202,11
"降水量",203,11
"最大10分鐘風風速",204,11
"最大10分鐘風風向",205,11
"最大10分鐘風日期",206,11
"最大瞬間風風速",207,11
"最大瞬間風風向",208,11
"最大瞬間風日期",209,11
"平均相對濕度",210,11
"最小相對濕度",211,11
"最小相對濕度日期",212,11
"測站氣壓",213,11
"降水日數",214,11
"日照時數",215,11
"平均溫度",216,12
"最高溫度",217,12
"最高溫度日期",218,12
"最低溫度",219,12
"最低溫度日期",220,12
"降水量",221,12
"最大10分鐘風風速",222,12
"最大10分鐘風風向",223,12
"最大10分鐘風日期",224,12
"最大瞬間風風速",225,12
"最大瞬間風風向",226,12
"最大瞬間風日期",227,12
"平均相對濕度",228,12
"最小相對濕度",229,12
"最小相對濕度日期",230,12
"測站氣壓",231,12
"降水日數",232,12
"日照時數",233,12
"平均溫度",234,13
"最高溫度",235,13
"最高溫度日期",236,13
"最低溫度",237,13
"最低溫度日期",238,13
"降水量",239,13
"最大10分鐘風風速",240,13
"最大10分鐘風風向",241,13
"最大10分鐘風日期",242,13
"最大瞬間風風速",243,13
"最大瞬間風風向",244,13
"最大瞬間風日期",245,13
"平均相對濕度",246,13
"最小相對濕度",247,13
"最小相對濕度日期",248,13
"測站氣壓",249,13
"降水日數",250,13
"日照時數",251,13
"平均溫度",252,14
"最高溫度",253,14
"最高溫度日期",254,14
"最低溫度",255,14
"最低溫度日期",256,14
"降水量",257,14
"最大10分鐘風風速",258,14
"最大10分鐘風風向",259,14
"最大10分鐘風日期",260,14
"最大瞬間風風速",261,14
"最大瞬間風風向",262,14
"最大瞬間風日期",263,14
"平均相對濕度",264,14
"最小相對濕度",265,14
"最小相對濕度日期",266,14
"測站氣壓",267,14
"降水日數",268,14
"日照時數",269,14
"平均溫度",270,15
"最高溫度",271,15
"最高溫度日期",272,15
"最低溫度",273,15
"最低溫度日期",274,15
"降水量",275,15
"最大10分鐘風風速",276,15
"最大10分鐘風風向",277,15
"最大10分鐘風日期",278,15
"最大瞬間風風速",279,15
"最大瞬間風風向",280,15
"最大瞬間風日期",281,15
"平均相對濕度",282,15
"最小相對濕度",283,15
"最小相對濕度日期",284,15
"測站氣壓",285,15
"降水日數",286,15
"日照時數",287,15
"平均溫度",288,16
"最高溫度",289,16
"最高溫度日期",290,16
"最低溫度",291,16
"最低溫度日期",292,16
"降水量",293,16
"最大10分鐘風風速",294,16
"最大10分鐘風風向",295,16
"最大10分鐘風日期",296,16
"最大瞬間風風速",297,16
"最大瞬間風風向",298,16
"最大瞬間風日期",299,16
"平均相對濕度",300,16
"最小相對濕度",301,16
"最小相對濕度日期",302,16
"測站氣壓",303,16
"降水日數",304,16
"日照時數",305,16
"平均溫度",306,17
"最高溫度",307,17
"最高溫度日期",308,17
"最低溫度",309,17
"最低溫度日期",310,17
"降水量",311,17
"最大10分鐘風風速",312,17
"最大10分鐘風風向",313,17
"最大10分鐘風日期",314,17
"最大瞬間風風速",315,17
"最大瞬間風風向",316,17
"最大瞬間風日期",317,17
"平均相對濕度",318,17
"最小相對濕度",319,17
"最小相對濕度日期",320,17
"測站氣壓",321,17
"降水日數",322,17
"日照時數",323,17
"平均溫度",324,18
"最高溫度",325,18
"最高溫度日期",326,18
"最低溫度",327,18
"最低溫度日期",328,18
"降水量",329,18
"最大10分鐘風風速",330,18
"最大10分鐘風風向",331,18
"最大10分鐘風日期",332,18
"最大瞬間風風速",333,18
"最大瞬間風風向",334,18
"最大瞬間風日期",335,18
"平均相對濕度",336,18
"最小相對濕度",337,18
"最小相對濕度日期",338,18
"測站氣壓",339,18
"降水日數",340,18
"日照時數",341,18
