年/縣市,台中市,台北市,台東縣,台南市,宜蘭縣,花蓮縣,金門縣,南投縣,屏東縣,苗栗縣,桃園市,高雄市,基隆市,連江縣,雲林縣,新北市,新竹市,新竹縣,嘉義市,嘉義縣,彰化縣,澎湖縣
2003,7,9,0,6,2,0,0,0,17,1,8,77,0,0,3,8,3,2,0,0,2,0
2004,12,12,1,9,3,0,0,2,288,2,15,60,2,0,2,11,1,2,0,2,3,0
2005,11,13,6,64,1,3,1,2,12,4,18,144,0,0,4,15,0,0,1,1,6,0
2006,13,14,2,14,1,0,0,2,17,0,19,956,1,0,1,20,3,4,1,2,4,0
2007,22,30,0,1837,3,1,0,6,7,4,15,202,3,0,4,28,1,3,0,8,5,0
2008,22,66,0,42,1,2,0,3,10,4,31,443,5,0,4,61,2,9,2,0,7,0
2009,24,30,1,18,2,3,2,3,81,5,35,773,4,0,4,31,2,7,0,3,23,1
2010,35,60,1,505,3,2,1,5,17,7,39,1106,3,0,5,74,2,9,4,9,9,0
2011,22,53,0,112,2,0,1,4,149,4,24,1184,3,0,2,30,1,2,1,3,7,98
2012,24,41,2,754,7,1,0,4,5,5,30,532,1,0,5,43,2,6,1,1,12,2
2013,23,64,0,51,2,3,0,7,480,7,47,102,2,0,5,34,4,15,0,3,9,2
2014,47,69,16,175,1,3,0,4,228,4,26,15043,1,0,11,54,5,7,7,6,9,16
2015,125,157,18,22777,8,16,4,13,414,14,79,19784,9,1,28,147,26,34,25,38,51,16
2016,54,65,4,37,3,2,0,6,35,11,44,379,2,0,6,63,7,11,4,1,8,1
